[2025-11-28 12:08:52] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:08:56] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:08:59] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:09:00] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:09:48] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:09:54] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:09:56] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:10:03] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:10:06] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:10:09] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:10:11] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:10:13] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:10:41] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:10:56] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:10:59] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:17:35] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:17:36] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:17:46] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:17:52] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:17:56] PRIORITY:9 | FIST_RAISED | This is urgent! Please come quickly!
[2025-11-28 12:18:00] PRIORITY:9 | FIST_RAISED | This is urgent! Please come quickly!
[2025-11-28 12:18:11] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:18:59] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:19:01] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:19:05] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:19:08] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:19:09] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:20:09] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:23:26] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:23:28] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:23:30] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:23:35] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:24:08] PRIORITY:9 | FIST_RAISED | This is urgent! Please come quickly!
[2025-11-28 12:24:15] PRIORITY:9 | FIST_RAISED | This is urgent! Please come quickly!
[2025-11-28 12:25:07] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:25:18] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:25:23] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:25:24] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:25:26] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:25:28] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:25:30] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:25:36] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:25:37] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:25:41] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:25:47] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:02] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:07] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:09] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:18] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:27] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:29] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:31] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:52] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:54] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:56] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:26:58] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:28:22] PRIORITY:9 | FIST_RAISED | This is urgent! Please come quickly!
[2025-11-28 12:28:23] PRIORITY:9 | FIST_RAISED | This is urgent! Please come quickly!
[2025-11-28 12:28:25] PRIORITY:9 | FIST_RAISED | This is urgent! Please come quickly!
[2025-11-28 12:28:25] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:28:27] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:28:28] PRIORITY:9 | FIST_RAISED | This is urgent! Please come quickly!
[2025-11-28 12:30:20] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:30:23] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:30:25] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:30:27] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:30:29] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:30:31] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
